title,genres,clean_title
"Road Home, The (Wo de fu qin mu qin) (1999)",Drama Romance,"Road Home, The (Wo de fu qin mu qin)"
Ikiru (1952),Drama,Ikiru
Comic Book Villains (2002),Comedy,Comic Book Villains
"Angel at My Table, An (1990)",Drama,"Angel at My Table, An"
"Handmaid's Tale, The (1990)",Drama Sci-Fi,"Handmaid's Tale, The"
Revolution OS (2001),Documentary,Revolution OS
Death in Venice (Morte a Venezia) (1971),Drama Romance,Death in Venice (Morte a Venezia)
"Medallion, The (2003)",Action Comedy Crime Fantasy,"Medallion, The"
My Boss's Daughter (2003),Comedy Romance,My Boss's Daughter
Autumn Spring (Babí léto) (2001),Comedy Drama,Autumn Spring (Babí léto)
"Battle of Shaker Heights, The (2003)",Comedy Drama Romance,"Battle of Shaker Heights, The"
Dust (2001),Drama Western,Dust
Stoked: The Rise and Fall of Gator (2002),Documentary,Stoked: The Rise and Fall of Gator
Jeepers Creepers 2 (2003),Horror Thriller,Jeepers Creepers 2
Bollywood/Hollywood (2002),Comedy Drama Musical Romance,Bollywood/Hollywood
Once Upon a Time in the Midlands (2002),Drama,Once Upon a Time in the Midlands
Dickie Roberts: Former Child Star (2003),Comedy,Dickie Roberts: Former Child Star
Party Monster (2003),Comedy Crime Drama Thriller,Party Monster
Taking Sides (2001),Drama,Taking Sides
Cabin Fever (2002),Horror Thriller,Cabin Fever
Matchstick Men (2003),Comedy Crime Drama,Matchstick Men
Once Upon a Time in Mexico (2003),Action Adventure Crime Thriller,Once Upon a Time in Mexico
Dummy (2002),Comedy Drama Romance,Dummy
Lost in Translation (2003),Comedy Drama Romance,Lost in Translation
Millennium Actress (Sennen joyû) (2001),Animation Drama Romance,Millennium Actress (Sennen joyû)
Children of the Night (1991),Horror,Children of the Night
Gotcha! (1985),Comedy,Gotcha!
Kuffs (1992),Action Comedy Crime,Kuffs
Once Upon a Time in China (Wong Fei Hung) (1991),Action Adventure Drama,Once Upon a Time in China (Wong Fei Hung)
Once Upon a Time in China II (Wong Fei-hung Ji Yi: Naam yi dong ji keung) (1992),Action Romance,Once Upon a Time in China II (Wong Fei-hung Ji Yi: Naam yi dong ji keung)
Once Upon a Time in China III (Wong Fei-hung tsi sam: Siwong tsangba) (1993),Action,Once Upon a Time in China III (Wong Fei-hung tsi sam: Siwong tsangba)
Paper Moon (1973),Comedy Crime Drama,Paper Moon
Day of the Dead (1985),Horror Sci-Fi Thriller,Day of the Dead
"Hello, Dolly! (1969)",Comedy Musical Romance,"Hello, Dolly!"
Memoirs of an Invisible Man (1992),Comedy Romance Sci-Fi Thriller,Memoirs of an Invisible Man
Once Bitten (1985),Comedy Horror,Once Bitten
Squirm (1976),Horror Romance,Squirm
"Brood, The (1979)",Horror,"Brood, The"
Anything Else (2003),Comedy Drama Romance,Anything Else
Cold Creek Manor (2003),Drama Thriller,Cold Creek Manor
"Fighting Temptations, The (2003)",Drama,"Fighting Temptations, The"
Secondhand Lions (2003),Children Comedy Drama,Secondhand Lions
Underworld (2003),Action Fantasy Horror,Underworld
Bubba Ho-tep (2002),Comedy Horror,Bubba Ho-tep
In This World (2002),Adventure Drama,In This World
Duplex (2003),Comedy Crime,Duplex
"Rundown, The (2003)",Action Adventure Comedy,"Rundown, The"
Under the Tuscan Sun (2003),Comedy Drama Romance,Under the Tuscan Sun
Luther (2003),Drama,Luther
Mambo Italiano (2003),Comedy,Mambo Italiano
My Life Without Me (2003),Drama Romance,My Life Without Me
To Be and to Have (Être et avoir) (2002),Documentary,To Be and to Have (Être et avoir)
"Triplets of Belleville, The (Les triplettes de Belleville) (2003)",Animation Comedy Fantasy,"Triplets of Belleville, The (Les triplettes de Belleville)"
Videodrome (1983),Fantasy Horror Sci-Fi Thriller,Videodrome
Life and Debt (2001),Documentary,Life and Debt
Lagaan: Once Upon a Time in India (2001),Comedy Drama Musical Romance,Lagaan: Once Upon a Time in India
Judgment at Nuremberg (1961),Drama,Judgment at Nuremberg
"Brief History of Time, A (1991)",Documentary,"Brief History of Time, A"
Leningrad Cowboys Go America (1989),Comedy Musical,Leningrad Cowboys Go America
"Rules of the Game, The (La règle du jeu) (1939)",Comedy Drama,"Rules of the Game, The (La règle du jeu)"
Seven Brides for Seven Brothers (1954),Comedy Musical Romance Western,Seven Brides for Seven Brothers
Kiss of the Spider Woman (1985),Drama,Kiss of the Spider Woman
All the President's Men (1976),Drama Thriller,All the President's Men
Angie (1994),Comedy Drama Romance,Angie
"Apartment, The (Appartement, L') (1996)",Drama Mystery Romance,"Apartment, The (Appartement, L')"
Avalon (2001),Drama Fantasy Sci-Fi,Avalon
Babette's Feast (Babettes gæstebud) (1987),Drama,Babette's Feast (Babettes gæstebud)
Beethoven (1992),Children Comedy Drama,Beethoven
Beethoven's 2nd (1993),Children Comedy,Beethoven's 2nd
Boyz N the Hood (1991),Crime Drama,Boyz N the Hood
Bugsy (1991),Crime Drama,Bugsy
Bugsy Malone (1976),Children Comedy Crime Musical,Bugsy Malone
Cobra (1986),Action Crime,Cobra
Phenomena (a.k.a. Creepers) (1985),Horror Mystery Thriller,Phenomena (a.k.a. Creepers)
Crimewave (1985),Comedy Crime,Crimewave
Monty Python's The Meaning of Life (1983),Comedy,Monty Python's The Meaning of Life
Where Eagles Dare (1968),Action Adventure War,Where Eagles Dare
Tightrope (1984),Thriller,Tightrope
Sleeping with the Enemy (1991),Drama Thriller,Sleeping with the Enemy
PCU (1994),Comedy,PCU
"Rookie, The (1990)",Action Comedy Thriller,"Rookie, The"
City Heat (1984),Action Comedy,City Heat
Three O'Clock High (1987),Comedy,Three O'Clock High
"White Hunter, Black Heart (1990)",Adventure Drama,"White Hunter, Black Heart"
Come and See (Idi i smotri) (1985),Drama War,Come and See (Idi i smotri)
Ginger Snaps (2000),Drama Horror Thriller,Ginger Snaps
More American Graffiti (1979),Comedy,More American Graffiti
It's Pat (1994),Comedy,It's Pat
Regarding Henry (1991),Drama,Regarding Henry
Alien Contamination (1980),Action Horror Sci-Fi,Alien Contamination
"Amazing Transparent Man, The (1960)",Sci-Fi,"Amazing Transparent Man, The"
Love Affair (1939),Comedy Drama Romance,Love Affair
Scrooge (1970),Drama Fantasy Musical,Scrooge
Leap of Faith (1992),Comedy Drama,Leap of Faith
"Gas, Food, Lodging (1992)",Drama Romance,"Gas, Food, Lodging"
In Cold Blood (1967),Crime Drama,In Cold Blood
Campus Man (1987),Comedy,Campus Man
Yankee Doodle Dandy (1942),Drama Musical,Yankee Doodle Dandy
Ninja Scroll (Jûbei ninpûchô) (1995),Action Adventure Animation Fantasy,Ninja Scroll (Jûbei ninpûchô)
Knife in the Water (Nóz w wodzie) (1962),Drama,Knife in the Water (Nóz w wodzie)
Mobsters (1991),Crime Drama,Mobsters
Out of Time (2003),Crime Drama Thriller,Out of Time
School of Rock (2003),Comedy Musical,School of Rock
"Station Agent, The (2003)",Comedy Drama,"Station Agent, The"
Wonderland (2003),Crime Drama Mystery Thriller,Wonderland
Bus 174 (Ônibus 174) (2002),Crime Documentary,Bus 174 (Ônibus 174)
Mystic River (2003),Crime Drama Mystery,Mystic River
"House of the Dead, The (2003)",Action Horror,"House of the Dead, The"
Intolerable Cruelty (2003),Comedy Romance,Intolerable Cruelty
Kill Bill: Vol. 1 (2003),Action Crime Thriller,Kill Bill: Vol. 1
Runaway Jury (2003),Drama Thriller,Runaway Jury
"Texas Chainsaw Massacre, The (2003)",Horror,"Texas Chainsaw Massacre, The"
Pieces of April (2003),Comedy Drama,Pieces of April
Returner (Ritaanaa) (2002),Action Adventure Sci-Fi,Returner (Ritaanaa)
Sylvia (2003),Drama Romance,Sylvia
Veronica Guerin (2003),Crime Drama Thriller,Veronica Guerin
In the Cut (2003),Crime Drama Mystery Romance Thriller,In the Cut
Beyond Borders (2003),Drama Romance War,Beyond Borders
Radio (2003),Drama,Radio
Scary Movie 3 (2003),Comedy Horror,Scary Movie 3
Brother Bear (2003),Adventure Animation Children,Brother Bear
Elephant (2003),Drama,Elephant
"Italian Job, The (1969)",Action Comedy Crime,"Italian Job, The"
Sweet Sixteen (2002),Drama,Sweet Sixteen
Alien from L.A. (1988),Sci-Fi,Alien from L.A.
Interstate 60 (2002),Adventure Comedy Drama Fantasy Mystery Sci-Fi Thriller,Interstate 60
"Eye, The (Gin gwai) (Jian gui) (2002)",Thriller,"Eye, The (Gin gwai) (Jian gui)"
"Jolson Story, The (1946)",Musical,"Jolson Story, The"
You'll Never Get Rich (1941),Comedy Musical Romance,You'll Never Get Rich
"Unvanquished, The (Aparajito) (1957)",Drama,"Unvanquished, The (Aparajito)"
"Cercle Rouge, Le (Red Circle, The) (1970)",Crime Thriller,"Cercle Rouge, Le (Red Circle, The)"
"Human Stain, The (2003)",Drama Romance Thriller,"Human Stain, The"
Shattered Glass (2003),Crime Drama,Shattered Glass
"Matrix Revolutions, The (2003)",Action Adventure Sci-Fi Thriller IMAX,"Matrix Revolutions, The"
"Revolution Will Not Be Televised, The (a.k.a. Chavez: Inside the Coup) (2003)",Documentary,"Revolution Will Not Be Televised, The (a.k.a. Chavez: Inside the Coup)"
Elf (2003),Children Comedy Fantasy,Elf
Billabong Odyssey (2003),Documentary,Billabong Odyssey
Gloomy Sunday (Ein Lied von Liebe und Tod) (1999),Drama Romance,Gloomy Sunday (Ein Lied von Liebe und Tod)
Love Actually (2003),Comedy Drama Romance,Love Actually
Father of the Bride (1991),Comedy,Father of the Bride
My Architect: A Son's Journey (2003),Documentary,My Architect: A Son's Journey
Looney Tunes: Back in Action (2003),Action Animation Children Fantasy,Looney Tunes: Back in Action
Master and Commander: The Far Side of the World (2003),Adventure Drama War,Master and Commander: The Far Side of the World
Tupac: Resurrection (2003),Documentary,Tupac: Resurrection
"Big Empty, The (2003)",Comedy Mystery Sci-Fi,"Big Empty, The"
"Missing, The (2003)",Adventure Thriller Western,"Missing, The"
"Cat in the Hat, The (2003)",Children Comedy,"Cat in the Hat, The"
Gothika (2003),Horror Thriller,Gothika
21 Grams (2003),Crime Drama Mystery Romance Thriller,21 Grams
"Barbarian Invasions, The (Les invasions barbares) (2003)",Comedy Crime Drama Mystery Romance,"Barbarian Invasions, The (Les invasions barbares)"
Bad Santa (2003),Comedy Crime,Bad Santa
"Haunted Mansion, The (2003)",Children Comedy Fantasy Horror,"Haunted Mansion, The"
Timeline (2003),Action Adventure Sci-Fi,Timeline
Damage (Fatale) (1992),Drama,Damage (Fatale)
OT: Our Town (2002),Documentary,OT: Our Town
Devil's Playground (2002),Documentary,Devil's Playground
Journeys with George (2002),Documentary,Journeys with George
Darkman (1990),Action Crime Fantasy Sci-Fi Thriller,Darkman
Dead of Night (1945),Horror Mystery,Dead of Night
"Dernier Combat, Le (Last Battle, The) (1983)",Drama Sci-Fi,"Dernier Combat, Le (Last Battle, The)"
Desk Set (1957),Comedy Romance,Desk Set
Europa (Zentropa) (1991),Drama Thriller,Europa (Zentropa)
Final Analysis (1992),Drama Romance Thriller,Final Analysis
"Freshman, The (1990)",Comedy Crime,"Freshman, The"
Funny Games (1997),Drama Horror Thriller,Funny Games
Slacker (1991),Comedy Drama,Slacker
WarGames (1983),Drama Sci-Fi Thriller,WarGames
"Ordet (Word, The) (1955)",Drama,"Ordet (Word, The)"
Forbidden Games (Jeux interdits) (1952),Drama War,Forbidden Games (Jeux interdits)
Jane Eyre (1944),Drama Romance,Jane Eyre
"Tale of Two Cities, A (1935)",Drama,"Tale of Two Cities, A"
"Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La) (1928)",Drama,"Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La)"
Ben-Hur: A Tale of the Christ (1925),Adventure Drama Romance,Ben-Hur: A Tale of the Christ
"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das) (1920)",Crime Fantasy Horror,"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das)"
Gorky Park (1983),Crime Drama Thriller,Gorky Park
The Great Train Robbery (1978),Action Adventure Comedy Crime Drama,The Great Train Robbery
Guarding Tess (1994),Comedy Drama,Guarding Tess
Hannah and Her Sisters (1986),Comedy Drama Romance,Hannah and Her Sisters
"Hard Way, The (1991)",Action Comedy,"Hard Way, The"
Highlander II: The Quickening (1991),Action Sci-Fi,Highlander II: The Quickening
Hoffa (1992),Crime Drama,Hoffa
House of Cards (1993),Drama,House of Cards
Housesitter (1992),Comedy Romance,Housesitter
Hudson Hawk (1991),Action Adventure Comedy,Hudson Hawk
Invasion of the Body Snatchers (1978),Horror Mystery Sci-Fi Thriller,Invasion of the Body Snatchers
Kindergarten Cop (1990),Action Comedy Crime Thriller,Kindergarten Cop
King Ralph (1991),Comedy,King Ralph
"Last Boy Scout, The (1991)",Action Comedy Crime Drama Thriller,"Last Boy Scout, The"
Last Tango in Paris (Ultimo tango a Parigi) (1972),Drama Romance,Last Tango in Paris (Ultimo tango a Parigi)
Lorenzo's Oil (1992),Drama,Lorenzo's Oil
"Lover, The (Amant, L') (1992)",Drama Romance,"Lover, The (Amant, L')"
Mr. Destiny (1990),Comedy Fantasy,Mr. Destiny
"Night of the Hunter, The (1955)",Drama Film-Noir Thriller,"Night of the Hunter, The"
Only the Lonely (1991),Comedy Romance,Only the Lonely
Over the Top (1987),Action Drama,Over the Top
Passenger 57 (1992),Action Thriller,Passenger 57
Presumed Innocent (1990),Crime Drama Thriller,Presumed Innocent
Project X (1987),Comedy Drama,Project X
Proof (1991),Comedy Drama Romance,Proof
Battle Royale (Batoru rowaiaru) (2000),Action Drama Horror Thriller,Battle Royale (Batoru rowaiaru)
"Wedding Banquet, The (Xi yan) (1993)",Comedy Drama Romance,"Wedding Banquet, The (Xi yan)"
"Salo, or The 120 Days of Sodom (Salò o le 120 giornate di Sodoma) (1976)",Drama,"Salo, or The 120 Days of Sodom (Salò o le 120 giornate di Sodoma)"
"Midnight Clear, A (1992)",Drama War,"Midnight Clear, A"
Summer School (1987),Comedy,Summer School
Silverado (1985),Action Western,Silverado
Quick Change (1990),Comedy Crime,Quick Change
Radio Flyer (1992),Drama,Radio Flyer
"Real McCoy, The (1993)",Action Crime Drama Thriller,"Real McCoy, The"
Revenge (1990),Drama Romance Thriller,Revenge
"Secret of My Succe$s, The (a.k.a. The Secret of My Success) (1987)",Comedy Romance,"Secret of My Succe$s, The (a.k.a. The Secret of My Success)"
Show Me Love (Fucking Åmål) (1998),Drama Romance,Show Me Love (Fucking Åmål)
Teen Wolf (1985),Comedy Fantasy,Teen Wolf
High Heels (Tacones lejanos) (1991),Comedy Drama,High Heels (Tacones lejanos)
Things You Can Tell Just by Looking at Her (2000),Drama Romance,Things You Can Tell Just by Looking at Her
To Live and Die in L.A. (1985),Action Crime Drama Thriller,To Live and Die in L.A.
Trapped in Paradise (1994),Comedy Crime,Trapped in Paradise
Wild at Heart (1990),Crime Drama Mystery Romance Thriller,Wild at Heart
"Witches, The (1990)",Children Fantasy,"Witches, The"
"Witches of Eastwick, The (1987)",Comedy Fantasy Horror Thriller,"Witches of Eastwick, The"
Year of the Dragon (1985),Action Crime Drama,Year of the Dragon
Nothing to Lose (1997),Action Adventure Comedy Crime,Nothing to Lose
Flying Down to Rio (1933),Comedy Musical Romance,Flying Down to Rio
Follow the Fleet (1936),Comedy Musical Romance,Follow the Fleet
"What's New, Pussycat (1965)",Comedy,"What's New, Pussycat"
Mary of Scotland (1936),Drama,Mary of Scotland
Roberta (1935),Comedy Musical Romance,Roberta
Little Women (1949),Drama,Little Women
Swing Time (1936),Comedy Musical Romance,Swing Time
"Public Enemy, The (1931)",Action Crime Drama,"Public Enemy, The"
"Midsummer Night's Dream, A (1935)",Comedy Fantasy Romance,"Midsummer Night's Dream, A"
Life with Father (1947),Comedy,Life with Father
National Velvet (1944),Children Drama,National Velvet
Jesus Christ Superstar (1973),Drama Musical,Jesus Christ Superstar
Dark Victory (1939),Drama Romance,Dark Victory
Birdman of Alcatraz (1962),Drama,Birdman of Alcatraz
"Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972)",Adventure Drama,"Aguirre: The Wrath of God (Aguirre, der Zorn Gottes)"
Beauty and the Beast (La belle et la bête) (1946),Drama Fantasy,Beauty and the Beast (La belle et la bête)
"Birth of a Nation, The (1915)",Drama War,"Birth of a Nation, The"
Juliet of the Spirits (Giulietta degli spiriti) (1965),Comedy Drama Fantasy Romance,Juliet of the Spirits (Giulietta degli spiriti)
"Macbeth (a.k.a. Tragedy of Macbeth, The) (1971)",Drama,"Macbeth (a.k.a. Tragedy of Macbeth, The)"
Red River (1948),Action Adventure Western,Red River
"Woman Under the Influence, A (1974)",Drama,"Woman Under the Influence, A"
Stagecoach (1939),Action Drama Romance Western,Stagecoach
"Shot in the Dark, A (1964)",Comedy Crime Mystery,"Shot in the Dark, A"
"Navigator, The (1924)",Comedy,"Navigator, The"
"Court Jester, The (1956)",Adventure Comedy Musical,"Court Jester, The"
Bullitt (1968),Action Crime Drama Thriller,Bullitt
Jezebel (1938),Drama,Jezebel
"Hunchback of Notre Dame, The (1939)",Drama,"Hunchback of Notre Dame, The"
42nd Street (1933),Drama Musical Romance,42nd Street
That Touch of Mink (1962),Comedy Romance,That Touch of Mink
Sweet Dreams (1985),Drama,Sweet Dreams
"Play It Again, Sam (1972)",Comedy Romance,"Play It Again, Sam"
Send Me No Flowers (1964),Comedy Romance,Send Me No Flowers
Pygmalion (1938),Comedy Drama,Pygmalion
"Passage to India, A (1984)",Adventure Drama,"Passage to India, A"
Black Orpheus (Orfeu Negro) (1959),Drama Romance,Black Orpheus (Orfeu Negro)
Amarcord (1973),Comedy Drama,Amarcord
Hero (Ying xiong) (2002),Action Adventure Drama,Hero (Ying xiong)
Horse Feathers (1932),Comedy,Horse Feathers
Anna Karenina (1935),Drama Romance,Anna Karenina
"Front Page, The (1974)",Comedy,"Front Page, The"
Rivers and Tides (2001),Documentary,Rivers and Tides
Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984),Adventure Animation Drama Fantasy Sci-Fi,Nausicaä of the Valley of the Wind (Kaze no tani no Naushika)
Doc Hollywood (1991),Comedy Romance,Doc Hollywood
Dragnet (1987),Comedy Crime Drama,Dragnet
Madhouse (1990),Comedy,Madhouse
1941 (1979),Comedy War,1941
Foul Play (1978),Comedy Thriller,Foul Play
Crime Story (Zhong an zu) (1993),Action Crime Drama,Crime Story (Zhong an zu)
Beyond the Clouds (Al di là delle nuvole) (1996),Drama Romance,Beyond the Clouds (Al di là delle nuvole)
"Collector, The (1965)",Drama Horror Thriller,"Collector, The"
Deep Red (Profondo rosso) (1975),Horror Mystery Thriller,Deep Red (Profondo rosso)
Diabolique (Les diaboliques) (1955),Horror Mystery Thriller,Diabolique (Les diaboliques)
Leprechaun (1993),Comedy Horror,Leprechaun
Wings of Honneamise (Ôritsu uchûgun Oneamisu no tsubasa) (1987),Animation Drama Sci-Fi War,Wings of Honneamise (Ôritsu uchûgun Oneamisu no tsubasa)
Adam's Rib (1949),Comedy Romance,Adam's Rib
King of Hearts (1966),Comedy Drama War,King of Hearts
Naked Lunch (1991),Drama Fantasy Mystery Sci-Fi,Naked Lunch
Grass (1999),Documentary,Grass
Spring Forward (1999),Drama,Spring Forward
Run (1991),Action Drama Thriller,Run
"Summer Place, A (1959)",Drama,"Summer Place, A"
"Night at the Opera, A (1935)",Comedy Musical Romance,"Night at the Opera, A"
"Element of Crime, The (Forbrydelsens Element) (1984)",Drama Thriller,"Element of Crime, The (Forbrydelsens Element)"
"Cooler, The (2003)",Comedy Drama Romance,"Cooler, The"
In America (2002),Drama Romance,In America
